b1	v	ncl
-9.862000	1.000000	1
-9.862000	0.765022	1
-9.862000	0.811990	1
-9.891908	0.811990	1
-9.891908	0.596788	1
-9.891908	0.631874	1
-9.891908	0.631874	2
-9.891908	0.631874	2
-9.891908	0.639838	2
-9.891908	0.631628	2
-9.891908	0.624855	2
-9.891908	0.366127	2
-9.891908	0.121264	2
-9.891754	0.286535	2
-9.893154	0.308823	2
-9.893154	0.114538	2
-9.893154	0.114538	3
-9.878883	0.290820	2
-9.878883	0.290820	2
-9.878883	0.412858	2
-9.878883	0.412858	2
-9.878883	0.437178	2
-9.877687	0.437178	2
-9.877687	0.437178	2
-9.877687	0.436118	2
-9.877687	0.250684	2
-9.877687	0.250684	2
-9.855574	0.190478	2
-9.855574	0.234519	2
-9.855574	0.177786	3
-9.855574	0.220736	3
-9.855574	0.159053	3
-9.855574	0.059411	3
-9.843475	0.118911	3
-9.843475	0.135227	3
-9.843475	0.235764	3
-9.843475	0.235764	3
-9.843475	0.235764	3
-9.843475	0.398661	3
-9.839278	0.290019	3
-9.839278	0.114492	3
-9.839278	0.096290	3
-9.839278	0.343043	4
-9.886170	0.343043	4
-9.886170	0.482090	4
-9.886170	0.482090	4
-9.922028	0.349983	4
-9.922028	0.470005	4
-9.922028	0.207491	4
-9.922028	0.464914	4
-9.922028	0.217494	4
-9.922028	0.294326	4
-9.865208	0.294326	4
-9.860897	0.294326	4
-9.860897	0.216913	4
-9.872872	0.502024	4
-9.872872	0.760398	4
-9.872872	0.852237	4
-9.872872	0.659186	4
-9.872872	0.531713	4
-9.872872	0.665719	4
-9.872872	0.379393	4
-9.872872	0.523798	4
-9.872872	0.788463	4
-9.866369	0.694254	4
-9.866369	0.694254	4
-9.866369	0.765328	4
-9.866369	0.765328	4
-9.866369	0.470258	4
-9.866369	0.470258	4
-9.866369	0.472078	4
-9.889849	0.472078	4
-9.889849	0.472078	4
-9.889849	0.176849	4
-9.860053	0.285088	4
-9.860053	0.285088	4
-9.860053	0.184075	4
-9.860053	0.101712	4
-9.834379	0.125285	4
-9.844492	0.124563	4
-9.844492	0.298534	4
-9.844492	0.308309	4
-9.866872	0.388848	4
-9.866872	0.125733	4
-9.866872	0.274986	4
-9.866872	0.095696	4
-9.854466	0.099992	4
-9.862212	0.093489	4
-9.862212	0.380148	4
-9.862212	0.363099	4
-9.862212	0.241896	4
-9.885862	0.241896	4
-9.885862	0.112993	4
-9.885862	0.396230	4
-9.885862	0.491912	4
-9.885862	0.564450	4
-9.885862	0.564450	4
-9.885862	0.268915	4
-9.885862	0.241616	4
-9.885862	0.241616	4
-9.885862	0.450870	4
-9.885862	0.214648	4
-9.881309	0.503154	4
-9.881309	0.388474	4
-9.881309	0.379173	4
-9.881309	0.190706	4
-9.881309	0.190706	4
-9.881309	0.369469	4
-9.881309	0.659868	4
-9.881309	0.521325	4
-9.881309	0.521325	4
-9.881309	0.669331	4
-9.903406	0.669331	4
-9.892927	0.585260	4
-9.883421	0.585260	4
-9.883421	0.329122	4
-9.883421	0.349734	4
-9.883421	0.635421	4
-9.883421	0.818158	4
-9.856778	0.818158	4
-9.857853	0.661566	5
-9.857853	0.390684	4
-9.857853	0.390684	4
-9.857853	0.158049	4
-9.841988	0.231883	4
-9.841988	0.237830	4
-9.841988	0.324936	4
-9.841988	0.386364	4
-9.841988	0.450714	4
-9.841988	0.422482	4
-9.805821	0.601646	4
-9.805821	0.389108	4
-9.805821	0.295973	4
-9.805821	0.241644	4
-9.805821	0.241644	4
-9.805821	0.241644	4
-9.805821	0.241644	4
-9.805821	0.334150	4
-9.805821	0.284026	4
-9.813976	0.284026	4
-9.813976	0.125549	5
-9.813976	0.208911	5
-9.813976	0.069818	4
-9.813976	0.263614	4
-9.813976	0.338233	4
-9.813976	0.298319	4
-9.831746	0.512985	4
-9.831746	0.428181	3
-9.831746	0.170453	3
-9.831746	0.131994	3
-9.831746	0.131994	3
-9.831746	0.131994	3
-9.831746	0.131994	3
-9.831746	0.131994	3
-9.837707	0.224881	3
-9.837707	0.189336	3
-9.837707	0.368869	3
-9.837707	0.257501	3
-9.837707	0.257501	3
-9.857795	0.257501	3
-9.857795	0.429956	4
-9.857795	0.414931	3
-9.830552	0.414931	3
-9.830552	0.369523	3
-9.820727	0.296361	3
-9.820727	0.296361	3
-9.820727	0.200871	3
-9.820727	0.101832	3
-9.820727	0.126220	3
-9.820727	0.126220	3
-9.820727	0.268585	3
-9.794885	0.268585	3
-9.794885	0.070478	3
-9.794885	0.298951	3
-9.794885	0.119864	3
-9.794885	0.158767	3
-9.822627	0.309382	3
-9.822627	0.309382	3
-9.822627	0.206843	3
-9.802723	0.384619	3
-9.802723	0.177772	3
-9.802723	0.177772	3
-9.802723	0.122929	3
-9.802723	0.351615	3
-9.802723	0.351615	3
-9.754872	0.351615	3
-9.758768	0.606171	3
-9.758768	0.606691	3
-9.800468	0.783924	3
-9.800468	0.618558	3
-9.800468	0.615417	3
-9.800468	0.405120	3
-9.748488	0.125733	3
-9.748488	0.366056	3
-9.748488	0.366056	3
-9.748488	0.221459	3
-9.748488	0.332368	3
-9.748488	0.237360	3
-9.748488	0.237360	3
-9.739581	0.263298	3
-9.739581	0.488635	3
-9.739581	0.488635	3
-9.739581	0.225696	3
-9.739581	0.245873	3
-9.739581	0.245873	3
-9.739581	0.251223	3
-9.738445	0.251223	3
-9.739592	0.164964	3
-9.739592	0.354362	3
-9.739592	0.354362	3
-9.739592	0.354362	3
-9.739592	0.209645	3
-9.739592	0.241768	3
-9.739592	0.241768	3
-9.739592	0.261320	3
-9.801271	0.130207	3
-9.797289	0.130207	3
-9.797289	0.130207	3
-9.797289	0.190009	3
-9.797289	0.210225	3
-9.797289	0.210225	3
-9.802819	0.112472	3
-9.802819	0.125668	3
-9.802819	0.325836	3
-9.794669	0.289387	3
-9.795896	0.291300	3
-9.795896	0.344229	3
-9.795896	0.308002	3
-9.747223	0.409178	3
-9.747223	0.472266	3
-9.747223	0.521412	3
-9.747223	0.521412	3
-9.747223	0.703145	3
-9.747223	0.703145	3
-9.732796	0.812157	3
-9.732796	0.812157	3
-9.732796	0.700068	3
-9.732796	0.451004	3
-9.732796	0.322263	3
-9.732796	0.379780	3
-9.744348	0.103616	3
-9.744348	0.294680	3
-9.762262	0.224259	3
-9.762262	0.105786	3
-9.762262	0.194111	3
-9.762262	0.231796	3
-9.762262	0.231796	3
-9.762262	0.127361	3
-9.762262	0.126609	3
-9.762262	0.214967	3
-9.762262	0.214967	3
-9.734600	0.225996	3
-9.734600	0.225996	3
-9.743311	0.225996	3
-9.743311	0.395679	3
-9.743311	0.446035	3
-9.743311	0.446035	3
-9.743311	0.430032	3
-9.743311	0.430032	4
-9.779447	0.430032	3
-9.779447	0.298129	3
-9.779447	0.267780	3
-9.779447	0.467390	3
-9.779447	0.467390	3
-9.779447	0.252225	3
-9.779447	0.504739	3
-9.756891	0.671128	3
-9.733347	0.671128	3
-9.731060	0.752689	3
-9.731060	0.574978	3
-9.731060	0.305516	3
-9.731060	0.305516	3
-9.731060	0.230396	3
-9.731060	0.230396	3
-9.731060	0.230396	3
-9.696618	0.290143	3
-9.687267	0.555079	3
-9.687267	0.555079	3
-9.687267	0.589547	3
-9.687267	0.624342	3
-9.687267	0.614658	3
-9.687267	0.614658	3
-9.687267	0.614658	3
-9.667479	0.700963	3
-9.667479	0.754786	3
-9.667479	0.669846	3
-9.667479	0.396340	3
-9.667479	0.292367	3
-9.667479	0.292367	3
-9.667479	0.069099	3
-9.667479	0.167070	3
-9.693628	0.160330	3
-9.693628	0.299733	3
-9.693628	0.249404	3
-9.693628	0.242293	3
-9.693628	0.261232	3
-9.693628	0.202786	3
-9.693628	0.316937	3
-9.680745	0.316937	3
-9.680745	0.316937	3
-9.680745	0.316937	3
-9.661373	0.316937	3
-9.661373	0.098889	3
-9.629364	0.269574	3
-9.629364	0.508651	3
-9.629364	0.719724	3
-9.651391	0.719724	3
-9.651391	0.448359	3
-9.651391	0.386842	3
-9.651391	0.207660	3
-9.651391	0.181899	3
-9.651391	0.181899	3
-9.651391	0.185283	3
-9.647103	0.246117	3
-9.647103	0.246117	3
-9.647103	0.246117	3
-9.647103	0.343923	3
-9.647103	0.343923	3
-9.647103	0.343923	3
-9.647103	0.100493	3
-9.647103	0.124838	3
-9.647103	0.124838	3
-9.647103	0.280039	3
-9.647103	0.074547	3
-9.647103	0.372058	3
-9.647103	0.298189	3
-9.647103	0.202665	3
-9.647103	0.131595	3
-9.647103	0.131595	3
-9.609078	0.145242	3
-9.613789	0.145242	3
-9.613789	0.364372	3
-9.568414	0.109222	3
-9.568414	0.109222	3
-9.600448	0.164606	3
-9.600448	0.131767	3
-9.600448	0.123640	3
-9.600448	0.123640	3
-9.600448	0.177103	3
-9.600448	0.163492	3
-9.600448	0.362508	3
-9.600448	0.154165	3
-9.611007	0.340169	3
-9.611007	0.162267	3
-9.611007	0.121660	3
-9.611007	0.216982	3
-9.611007	0.216982	3
-9.607626	0.216982	3
-9.607626	0.221870	3
-9.607626	0.289776	3
-9.607626	0.422689	3
-9.607626	0.328189	3
-9.607626	0.257272	3
-9.607626	0.114326	3
-9.607626	0.111756	3
-9.607626	0.272187	3
-9.607626	0.041183	3
-9.630852	0.039635	3
-9.630852	0.075965	3
-9.630852	0.320475	3
-9.630852	0.320475	3
-9.630852	0.493538	3
-9.629760	0.307346	3
-9.629760	0.307346	3
-9.629760	0.406096	3
-9.629760	0.406096	3
-9.629760	0.406096	3
-9.644558	0.411457	3
-9.644558	0.357998	3
-9.644558	0.357998	3
-9.644558	0.245465	3
-9.644558	0.329236	3
-9.644558	0.329236	3
-9.644558	0.329236	3
-9.644558	0.423332	3
-9.644558	0.322910	3
-9.640932	0.416126	3
-9.640932	0.315965	3
-9.640932	0.088667	3
-9.640516	0.294334	3
-9.640516	0.253021	3
-9.640516	0.251057	3
-9.640516	0.251057	3
-9.640516	0.249208	3
-9.640516	0.249208	3
-9.687909	0.249208	3
-9.687909	0.148091	3
-9.687909	0.243874	3
-9.687909	0.243874	3
-9.687909	0.243874	3
-9.687909	0.187760	3
-9.687909	0.288610	3
-9.687909	0.288610	3
-9.613673	0.230043	3
-9.613673	0.323862	3
-9.613673	0.164938	3
-9.613673	0.184740	3
-9.613673	0.196550	3
-9.613673	0.220181	3
-9.613673	0.341643	3
-9.587702	0.341643	3
-9.587702	0.341643	3
-9.587702	0.281079	3
-9.587702	0.284354	3
-9.587702	0.194762	3
-9.569458	0.194762	3
-9.569458	0.194762	3
-9.569458	0.194762	3
-9.569458	0.122901	3
-9.569458	0.357879	3
-9.569458	0.357879	3
-9.569458	0.357879	3
-9.569458	0.357879	3
-9.569458	0.389473	3
-9.601881	0.111550	3
-9.620751	0.111550	3
-9.620751	0.094808	3
-9.620751	0.247122	3
-9.620751	0.373214	3
-9.620751	0.546666	3
-9.620751	0.479321	3
-9.620751	0.359691	3
-9.628574	0.199756	3
-9.638068	0.309943	3
-9.638068	0.309943	3
-9.579091	0.309943	3
-9.579091	0.465599	3
-9.579091	0.465599	3
-9.579091	0.465599	3
-9.579091	0.478811	3
-9.567959	0.211497	3
-9.567959	0.211497	3
-9.567959	0.211497	3
-9.567959	0.101028	3
-9.567959	0.034412	3
-9.567959	0.272751	3
-9.561295	0.234459	3
-9.561295	0.234459	3
-9.561295	0.046202	3
-9.561295	0.209390	3
-9.561295	0.059117	3
-9.561295	0.163537	3
-9.561167	0.163537	3
-9.561167	0.163537	3
-9.561167	0.163537	3
-9.561167	0.312890	3
-9.561167	0.312890	3
-9.561167	0.135809	3
-9.561167	0.135809	3
-9.561167	0.035539	3
-9.561167	0.231314	3
-9.561167	0.231314	3
-9.563324	0.298146	3
-9.563324	0.206220	3
-9.563324	0.206220	3
-9.563324	0.206220	3
-9.563324	0.048239	3
-9.563324	0.177311	3
-9.563324	0.131792	3
-9.563324	0.180667	3
-9.562315	0.385460	3
-9.562315	0.277502	3
-9.582135	0.277502	3
-9.582135	0.236080	3
-9.582135	0.236080	3
-9.582135	0.467037	3
-9.582135	0.467037	3
-9.582135	0.485450	4
-9.582135	0.308581	3
-9.582135	0.217419	3
-9.582135	0.320132	3
-9.582135	0.374204	3
-9.652262	0.336870	3
-9.652262	0.336870	3
-9.652262	0.121545	3
-9.652262	0.121545	3
-9.664089	0.135293	3
-9.664089	0.135293	3
-9.664089	0.135293	3
-9.661831	0.170811	3
-9.661831	0.062157	3
-9.661831	0.271718	3
-9.661831	0.271718	3
-9.713021	0.554406	3
-9.705581	0.554406	3
-9.747476	0.465132	3
-9.747476	0.399911	3
-9.739556	0.113406	3
-9.739556	0.113406	3
-9.739556	0.113406	3
-9.739556	0.123090	4
-9.739556	0.088244	3
-9.739556	0.063103	3
-9.773586	0.324673	3
-9.773586	0.380854	3
-9.773586	0.098956	3
-9.773586	0.098956	3
-9.773586	0.329071	3
-9.773586	0.329071	3
-9.773586	0.174155	3
-9.773586	0.361432	3
-9.773586	0.265323	3
-9.773586	0.107247	3
-9.773586	0.167563	3
-9.773586	0.167563	3
-9.773586	0.167563	3
-9.773586	0.156168	3
-9.773586	0.156168	3
-9.784670	0.156168	3
-9.758905	0.259420	3
-9.786243	0.338613	3
-9.809936	0.477293	3
-9.809936	0.477293	3
-9.809936	0.514676	3
-9.809936	0.229446	3
-9.809936	0.229446	3
-9.809936	0.363180	3
-9.809936	0.357343	3
-9.809936	0.147521	3
-9.809936	0.038642	3
-9.809936	0.165366	3
-9.808436	0.244725	3
-9.808436	0.357803	4
-9.808436	0.380793	3
-9.808436	0.365085	3
-9.811983	0.139159	3
-9.811983	0.139159	3
-9.811983	0.239251	3
-9.811983	0.216824	3
-9.811983	0.420572	3
-9.811983	0.346224	3
-9.811983	0.286647	3
-9.811983	0.368551	3
-9.811983	0.611975	3
-9.799989	0.611975	3
-9.799989	0.611975	3
-9.799989	0.611975	3
-9.799989	0.611975	3
-9.799989	0.688834	3
-9.799989	0.688834	3
-9.799989	0.438189	3
-9.790905	0.314753	3
-9.790905	0.278007	3
-9.790905	0.244246	3
-9.790905	0.095097	3
-9.761130	0.118019	3
-9.761130	0.244465	3
-9.743483	0.258243	3
-9.755025	0.258243	3
-9.755025	0.042954	3
-9.755025	0.042954	3
-9.755025	0.153615	3
-9.765445	0.153615	3
-9.765445	0.437704	3
-9.765445	0.437704	3
-9.765445	0.603903	3
-9.765445	0.434553	3
-9.765445	0.279173	3
-9.765445	0.257808	3
-9.772185	0.099956	3
-9.772185	0.088246	3
-9.772185	0.157580	3
-9.760539	0.088008	3
-9.760539	0.337937	3
-9.760539	0.226373	3
-9.783790	0.329963	3
-9.783790	0.259770	3
-9.783790	0.188284	3
-9.830005	0.131684	3
